anio,mes,cliente,producto,categoria,marca,cantidad_vendida,valor_venta,region,canal
2021,3,PLAZA VEA,Donofrio Helado,Limpieza,Nestlé,757,4688.07,Trujillo,Supermercado
2023,3,WONG,Casino Galleta,Higiene,Backus,169,749.04,Chiclayo,Minorista
2021,11,PLAZA VEA,Galletas Field,Higiene,Nestlé,978,3752.06,Huancayo,Minorista
2023,5,VIVANDA,Galletas Field,Bebidas,Gloria,181,4763.06,Piura,Mayorista
2019,7,MAYORISTA10,Dento,Limpieza,San Jorge,472,2615.25,Cusco,Minorista
2023,4,VIVANDA,Gloria Leche,Limpieza,Nestlé,104,1408.03,Trujillo,Tienda Independiente
2023,6,VIVANDA,Inca Kola,Higiene,Nestlé,256,1995.82,Arequipa,Supermercado
2024,2,PLAZA VEA,San Jorge Arroz,Bebidas,San Jorge,256,3059.42,Arequipa,Minorista
2021,7,MAYORISTA10,Donofrio Helado,Limpieza,Procter & Gamble,814,847.58,Huancayo,Tienda Independiente
2022,3,WONG,San Jorge Arroz,Limpieza,Procter & Gamble,205,2667.92,Trujillo,Minorista
2021,12,METRO,Galletas Field,Alimentos,Nestlé,177,4687.58,Huancayo,Supermercado
2020,8,MAKRO,San Jorge Arroz,Limpieza,Nestlé,778,3938.04,Iquitos,Supermercado
2022,4,VIVANDA,Donofrio Helado,Limpieza,Backus,616,2266.86,Lima,Minorista
2025,8,PLAZA VEA,Donofrio Helado,Alimentos,Gloria,692,1641.85,Cusco,Tienda Independiente
2025,7,MAYORISTA10,Inca Kola,Bebidas,Procter & Gamble,165,4061.71,Trujillo,Supermercado
2021,5,MAKRO,Inca Kola,Limpieza,San Jorge,473,3096.07,Chiclayo,Tienda Independiente
2022,8,WONG,Casino Galleta,Limpieza,San Jorge,378,1093.66,Lima,Minorista
2020,11,PLAZA VEA,Gloria Leche,Bebidas,San Jorge,889,2898.64,Cusco,Minorista
2024,6,METRO,San Jorge Arroz,Higiene,Nestlé,230,2005.94,Arequipa,Mayorista
2020,8,TOTTUS,Galletas Field,Limpieza,Alicorp,386,921.08,Arequipa,Tienda Independiente
2020,12,MAKRO,Casino Galleta,Alimentos,Gloria,955,1581.57,Lima,Minorista
2020,2,PLAZA VEA,Gloria Leche,Higiene,San Jorge,593,682.12,Chiclayo,Supermercado
2021,9,MAYORISTA10,San Jorge Arroz,Limpieza,Nestlé,623,4291.18,Trujillo,Tienda Independiente
2020,9,METRO,Galletas Field,Alimentos,Nestlé,150,1918.94,Iquitos,Tienda Independiente
2019,7,WONG,Dento,Higiene,San Jorge,311,3171.97,Cusco,Minorista
2024,6,TOTTUS,Casino Galleta,Limpieza,San Jorge,752,4567.49,Cusco,Supermercado
2025,6,MAYORISTA10,Dento,Limpieza,Backus,495,2785.7,Chiclayo,Tienda Independiente
2024,12,MAYORISTA10,San Jorge Arroz,Bebidas,Alicorp,177,1850.99,Trujillo,Minorista
2025,5,PLAZA VEA,Dento,Higiene,Gloria,955,3132.09,Chiclayo,Tienda Independiente
2019,6,METRO,Dento,Bebidas,Backus,375,2846.08,Trujillo,Tienda Independiente
2019,12,TOTTUS,Donofrio Helado,Higiene,Backus,481,1872.3,Huancayo,Minorista
2023,10,MAKRO,Ariel Detergente,Higiene,Procter & Gamble,130,3037.93,Chiclayo,Mayorista
2024,5,PLAZA VEA,Galletas Field,Bebidas,Backus,89,1612.63,Chiclayo,Supermercado
2024,5,METRO,Casino Galleta,Alimentos,Procter & Gamble,672,3964.8,Chiclayo,Minorista
2024,6,MAYORISTA10,Donofrio Helado,Limpieza,Alicorp,515,3110.17,Iquitos,Supermercado
2024,4,PLAZA VEA,Inca Kola,Higiene,Gloria,61,744.99,Iquitos,Supermercado
2023,5,VIVANDA,San Jorge Arroz,Bebidas,Backus,637,3781.57,Huancayo,Tienda Independiente
2025,9,METRO,Galletas Field,Alimentos,Nestlé,913,977.67,Cusco,Supermercado
2024,1,VIVANDA,Ariel Detergente,Higiene,Backus,845,2549.12,Trujillo,Minorista
2025,5,MAKRO,Inca Kola,Bebidas,Gloria,503,4848.08,Lima,Supermercado
2019,5,VIVANDA,Galletas Field,Higiene,Nestlé,816,3374.28,Iquitos,Minorista
2022,3,WONG,Gloria Leche,Limpieza,San Jorge,94,2153.84,Piura,Tienda Independiente
2020,6,VIVANDA,Ariel Detergente,Limpieza,San Jorge,350,1938.49,Piura,Tienda Independiente
2025,1,MAKRO,Inca Kola,Higiene,Backus,385,4713.33,Lima,Minorista
2022,6,METRO,Ariel Detergente,Bebidas,Procter & Gamble,569,3171.53,Arequipa,Mayorista
2019,8,PLAZA VEA,Ariel Detergente,Limpieza,Procter & Gamble,392,629.44,Trujillo,Tienda Independiente
2024,2,METRO,Casino Galleta,Bebidas,Nestlé,740,2104.15,Piura,Tienda Independiente
2020,2,VIVANDA,Donofrio Helado,Limpieza,Gloria,281,2861.38,Chiclayo,Supermercado
2019,5,TOTTUS,Donofrio Helado,Bebidas,Backus,279,1520.72,Chiclayo,Mayorista
2023,11,MAYORISTA10,Gloria Leche,Alimentos,Backus,30,4590.78,Cusco,Mayorista
2019,9,MAKRO,Dento,Limpieza,Backus,860,1037.25,Chiclayo,Tienda Independiente
2025,6,VIVANDA,San Jorge Arroz,Limpieza,San Jorge,957,580.62,Trujillo,Supermercado
2023,11,WONG,San Jorge Arroz,Bebidas,Alicorp,242,1547.67,Huancayo,Supermercado
2024,4,TOTTUS,Dento,Higiene,Backus,724,3045.86,Trujillo,Tienda Independiente
2023,10,METRO,San Jorge Arroz,Limpieza,Gloria,874,2791.62,Lima,Tienda Independiente
2019,10,MAKRO,Gloria Leche,Bebidas,Gloria,719,3343.74,Lima,Mayorista
2019,12,VIVANDA,Donofrio Helado,Bebidas,Nestlé,366,3149.6,Piura,Tienda Independiente
2019,12,MAKRO,Inca Kola,Bebidas,Backus,260,2048.52,Cusco,Mayorista
2025,10,TOTTUS,Gloria Leche,Higiene,Alicorp,789,1083.63,Cusco,Minorista
2019,1,METRO,Dento,Bebidas,Nestlé,944,3702.31,Iquitos,Mayorista
2019,10,MAYORISTA10,Casino Galleta,Bebidas,Procter & Gamble,621,2976.34,Arequipa,Minorista
2022,11,MAYORISTA10,San Jorge Arroz,Bebidas,Gloria,537,996.34,Arequipa,Mayorista
2021,8,TOTTUS,Casino Galleta,Higiene,Gloria,267,262.81,Lima,Tienda Independiente
2025,7,METRO,Dento,Limpieza,Nestlé,560,2945.84,Piura,Minorista
2025,8,VIVANDA,Donofrio Helado,Bebidas,Backus,819,4277.27,Arequipa,Mayorista
2023,5,METRO,San Jorge Arroz,Bebidas,Backus,49,2462.53,Trujillo,Tienda Independiente
2023,11,MAKRO,Galletas Field,Alimentos,Backus,461,4727.71,Lima,Mayorista
2020,6,MAKRO,Donofrio Helado,Alimentos,Gloria,602,1314.76,Chiclayo,Tienda Independiente
2022,12,METRO,Gloria Leche,Limpieza,Gloria,723,1318.01,Trujillo,Supermercado
2021,10,PLAZA VEA,Donofrio Helado,Alimentos,Backus,137,4183.61,Cusco,Supermercado
2023,4,MAKRO,Casino Galleta,Higiene,Nestlé,197,107.02,Arequipa,Tienda Independiente
2021,5,MAYORISTA10,Dento,Alimentos,San Jorge,111,206.25,Trujillo,Supermercado
2021,5,MAKRO,San Jorge Arroz,Bebidas,Backus,790,1548.81,Huancayo,Minorista
2020,12,PLAZA VEA,Gloria Leche,Bebidas,Procter & Gamble,716,3090.9,Chiclayo,Supermercado
2019,6,WONG,San Jorge Arroz,Higiene,Procter & Gamble,987,3269.37,Chiclayo,Tienda Independiente
2023,2,WONG,Inca Kola,Limpieza,Backus,887,208.08,Iquitos,Minorista
2025,11,MAKRO,Galletas Field,Alimentos,Procter & Gamble,930,3815.61,Piura,Mayorista
2023,12,MAYORISTA10,Dento,Bebidas,Alicorp,40,4979.39,Iquitos,Tienda Independiente
2019,11,PLAZA VEA,Galletas Field,Higiene,Gloria,876,1335.53,Arequipa,Supermercado
2024,10,MAYORISTA10,Gloria Leche,Limpieza,San Jorge,152,1946.24,Huancayo,Supermercado
2025,12,MAKRO,Ariel Detergente,Alimentos,Procter & Gamble,392,4654.61,Huancayo,Tienda Independiente
2025,9,TOTTUS,Galletas Field,Alimentos,San Jorge,40,4535.13,Iquitos,Tienda Independiente
2023,10,WONG,Gloria Leche,Limpieza,Nestlé,910,3464.35,Lima,Tienda Independiente
2024,12,WONG,Inca Kola,Bebidas,Alicorp,916,4280.22,Lima,Supermercado
2025,3,METRO,Casino Galleta,Higiene,Gloria,501,1221.36,Cusco,Supermercado
2022,6,METRO,Ariel Detergente,Limpieza,Alicorp,488,499.2,Arequipa,Mayorista
2020,8,MAKRO,Inca Kola,Bebidas,Backus,865,1085.58,Huancayo,Minorista
2019,9,WONG,Dento,Alimentos,Nestlé,596,2590.56,Cusco,Tienda Independiente
2019,11,VIVANDA,Gloria Leche,Bebidas,Alicorp,806,2744.57,Iquitos,Supermercado
2020,10,TOTTUS,San Jorge Arroz,Alimentos,Nestlé,620,2058.49,Trujillo,Supermercado
2022,7,WONG,San Jorge Arroz,Higiene,Gloria,969,4260.19,Cusco,Supermercado
2021,8,VIVANDA,Inca Kola,Limpieza,Gloria,633,3902.41,Iquitos,Tienda Independiente
2019,9,WONG,Donofrio Helado,Limpieza,Alicorp,429,3728.4,Huancayo,Mayorista
2020,8,WONG,Donofrio Helado,Higiene,Procter & Gamble,747,3237.31,Trujillo,Tienda Independiente
2025,4,METRO,Ariel Detergente,Higiene,San Jorge,254,3941.5,Huancayo,Tienda Independiente
2019,8,PLAZA VEA,Inca Kola,Bebidas,Alicorp,190,2461.24,Iquitos,Supermercado
2024,8,MAKRO,Gloria Leche,Bebidas,Backus,571,2534.12,Cusco,Minorista
2024,8,MAYORISTA10,Casino Galleta,Limpieza,Backus,491,2417.37,Iquitos,Tienda Independiente
2025,5,VIVANDA,Ariel Detergente,Alimentos,Nestlé,823,2409.32,Lima,Supermercado
2021,11,VIVANDA,Donofrio Helado,Bebidas,San Jorge,592,2174.97,Huancayo,Minorista
2020,6,MAYORISTA10,Donofrio Helado,Bebidas,Nestlé,700,1940.89,Arequipa,Minorista
2024,3,TOTTUS,Dento,Bebidas,Backus,99,3853.04,Iquitos,Supermercado
2019,8,VIVANDA,San Jorge Arroz,Bebidas,Alicorp,315,629.47,Chiclayo,Tienda Independiente
2022,7,MAYORISTA10,Inca Kola,Limpieza,Alicorp,690,3676.56,Huancayo,Supermercado
2019,8,WONG,Inca Kola,Alimentos,Nestlé,710,3154.58,Chiclayo,Minorista
2025,5,PLAZA VEA,Inca Kola,Alimentos,Gloria,561,3494.31,Trujillo,Mayorista
2023,9,METRO,San Jorge Arroz,Higiene,Alicorp,894,2201.34,Lima,Minorista
2022,8,PLAZA VEA,Gloria Leche,Bebidas,San Jorge,995,1381.79,Lima,Mayorista
2020,10,PLAZA VEA,Casino Galleta,Higiene,Nestlé,178,2030.72,Huancayo,Supermercado
2023,2,MAYORISTA10,Gloria Leche,Bebidas,Nestlé,478,1620.51,Trujillo,Mayorista
2019,7,PLAZA VEA,Casino Galleta,Alimentos,Gloria,673,3976.01,Huancayo,Mayorista
2020,6,MAYORISTA10,Donofrio Helado,Bebidas,San Jorge,626,2395.81,Lima,Supermercado
2020,9,PLAZA VEA,Casino Galleta,Higiene,Gloria,36,4889.92,Cusco,Tienda Independiente
2021,8,PLAZA VEA,Gloria Leche,Limpieza,Procter & Gamble,650,2904.35,Chiclayo,Supermercado
2021,6,VIVANDA,Dento,Higiene,Alicorp,287,2379.76,Chiclayo,Mayorista
2023,10,METRO,Gloria Leche,Higiene,Gloria,298,2924.06,Trujillo,Mayorista
2020,1,TOTTUS,Donofrio Helado,Higiene,Nestlé,611,2699.62,Cusco,Minorista
2021,1,TOTTUS,Ariel Detergente,Bebidas,Alicorp,430,4298.41,Huancayo,Mayorista
2021,7,MAYORISTA10,Gloria Leche,Alimentos,Procter & Gamble,264,1324.52,Iquitos,Tienda Independiente
2019,6,WONG,Gloria Leche,Alimentos,Backus,470,389.9,Cusco,Supermercado
2021,6,TOTTUS,San Jorge Arroz,Limpieza,Procter & Gamble,84,3557.13,Lima,Tienda Independiente
2022,6,MAKRO,Gloria Leche,Bebidas,San Jorge,203,1711.07,Huancayo,Supermercado
2020,6,MAKRO,Galletas Field,Bebidas,Gloria,27,4032.64,Trujillo,Mayorista
2020,9,PLAZA VEA,Dento,Bebidas,Backus,269,4666.73,Chiclayo,Minorista
2021,10,MAKRO,Ariel Detergente,Alimentos,San Jorge,319,4264.01,Huancayo,Tienda Independiente
2024,1,METRO,Inca Kola,Alimentos,Backus,944,4240.91,Huancayo,Mayorista
2024,11,METRO,San Jorge Arroz,Higiene,Nestlé,688,3395.81,Cusco,Supermercado
2019,7,WONG,Ariel Detergente,Alimentos,Procter & Gamble,736,906.15,Cusco,Tienda Independiente
2021,4,VIVANDA,Gloria Leche,Alimentos,Procter & Gamble,355,1959.22,Chiclayo,Mayorista
2022,6,VIVANDA,Gloria Leche,Bebidas,Backus,655,606.01,Chiclayo,Supermercado
2022,10,MAKRO,Casino Galleta,Limpieza,Alicorp,37,2402.53,Arequipa,Mayorista
2019,1,TOTTUS,Ariel Detergente,Alimentos,San Jorge,113,2657.3,Lima,Tienda Independiente
2024,8,PLAZA VEA,Donofrio Helado,Higiene,Gloria,189,3364.56,Lima,Supermercado
2025,3,WONG,Inca Kola,Alimentos,San Jorge,355,1510.29,Cusco,Supermercado
2020,4,METRO,Galletas Field,Bebidas,San Jorge,545,4262.89,Trujillo,Mayorista
2019,4,VIVANDA,Inca Kola,Alimentos,Gloria,324,2795.21,Chiclayo,Tienda Independiente
2023,3,PLAZA VEA,Dento,Alimentos,Nestlé,847,3753.55,Cusco,Tienda Independiente
2020,9,PLAZA VEA,Galletas Field,Alimentos,Procter & Gamble,701,2363.08,Chiclayo,Supermercado
2021,9,WONG,Casino Galleta,Alimentos,San Jorge,212,4162.57,Lima,Minorista
2023,11,PLAZA VEA,Gloria Leche,Alimentos,Procter & Gamble,528,2245.96,Lima,Mayorista
2020,11,TOTTUS,Inca Kola,Bebidas,Alicorp,663,4579.21,Arequipa,Mayorista
2020,4,PLAZA VEA,Donofrio Helado,Higiene,Procter & Gamble,18,3573.19,Arequipa,Minorista
2025,8,VIVANDA,Donofrio Helado,Alimentos,Alicorp,366,1581.23,Lima,Minorista
2023,8,TOTTUS,Inca Kola,Bebidas,Alicorp,456,479.1,Cusco,Tienda Independiente
2021,11,MAKRO,San Jorge Arroz,Bebidas,Gloria,520,617.62,Trujillo,Tienda Independiente
2020,1,TOTTUS,Inca Kola,Higiene,Backus,257,1316.21,Arequipa,Tienda Independiente
2024,8,MAKRO,Ariel Detergente,Higiene,Alicorp,844,953.24,Iquitos,Minorista
2019,8,PLAZA VEA,San Jorge Arroz,Bebidas,San Jorge,586,1561.11,Iquitos,Supermercado
2024,12,WONG,Donofrio Helado,Bebidas,Gloria,42,1803.59,Huancayo,Mayorista
2020,12,MAKRO,Galletas Field,Higiene,Procter & Gamble,902,972.78,Arequipa,Tienda Independiente
2019,12,TOTTUS,Dento,Limpieza,Alicorp,214,3427.75,Huancayo,Supermercado
2021,12,PLAZA VEA,Galletas Field,Limpieza,San Jorge,453,3430.11,Arequipa,Mayorista
2020,11,VIVANDA,Ariel Detergente,Limpieza,Alicorp,368,917.27,Lima,Supermercado
2021,4,MAYORISTA10,Donofrio Helado,Higiene,Gloria,836,4939.68,Huancayo,Supermercado
2020,3,VIVANDA,Dento,Limpieza,Alicorp,780,3895.28,Cusco,Mayorista
2022,7,MAKRO,Donofrio Helado,Alimentos,San Jorge,773,4111.37,Cusco,Mayorista
2020,10,TOTTUS,Ariel Detergente,Higiene,Procter & Gamble,265,1685.76,Iquitos,Mayorista
2020,3,METRO,Ariel Detergente,Bebidas,Alicorp,152,3857.78,Arequipa,Tienda Independiente
2021,1,TOTTUS,San Jorge Arroz,Limpieza,San Jorge,572,4624.41,Lima,Supermercado
2024,10,METRO,San Jorge Arroz,Alimentos,Backus,993,2473.81,Arequipa,Tienda Independiente
2021,1,VIVANDA,Casino Galleta,Higiene,Nestlé,122,390.83,Piura,Supermercado
2019,3,MAYORISTA10,Casino Galleta,Alimentos,Nestlé,343,3474.24,Trujillo,Tienda Independiente
2023,1,MAYORISTA10,Inca Kola,Higiene,Gloria,923,3430.33,Piura,Supermercado
2021,9,PLAZA VEA,Dento,Limpieza,Nestlé,134,4583.66,Chiclayo,Supermercado
2024,8,TOTTUS,San Jorge Arroz,Limpieza,Nestlé,767,2971.56,Trujillo,Supermercado
2022,10,MAYORISTA10,San Jorge Arroz,Alimentos,Backus,284,1510.01,Lima,Tienda Independiente
2021,4,METRO,Gloria Leche,Alimentos,Alicorp,115,1177.56,Huancayo,Minorista
2019,3,TOTTUS,Inca Kola,Higiene,Procter & Gamble,371,3697.03,Trujillo,Minorista
2019,5,VIVANDA,Donofrio Helado,Higiene,Backus,631,3361.99,Cusco,Tienda Independiente
2021,5,TOTTUS,San Jorge Arroz,Bebidas,Alicorp,864,908.07,Iquitos,Minorista
2020,2,MAYORISTA10,San Jorge Arroz,Bebidas,Procter & Gamble,955,2968.42,Huancayo,Tienda Independiente
2022,9,MAKRO,Gloria Leche,Bebidas,San Jorge,301,514.34,Huancayo,Mayorista
2025,1,METRO,Casino Galleta,Higiene,Alicorp,678,1932.24,Cusco,Tienda Independiente
2020,9,VIVANDA,San Jorge Arroz,Higiene,Gloria,101,1079.11,Chiclayo,Supermercado
2022,5,PLAZA VEA,Gloria Leche,Bebidas,San Jorge,277,1397.49,Arequipa,Tienda Independiente
2021,11,METRO,Dento,Higiene,Gloria,630,363.52,Huancayo,Supermercado
2022,5,PLAZA VEA,Gloria Leche,Bebidas,Procter & Gamble,832,158.92,Arequipa,Supermercado
2019,12,TOTTUS,Dento,Limpieza,Gloria,128,1543.28,Huancayo,Minorista
2019,7,METRO,Ariel Detergente,Bebidas,Nestlé,347,1176.57,Arequipa,Minorista
2024,9,WONG,Donofrio Helado,Limpieza,Nestlé,853,2430.1,Chiclayo,Minorista
2020,6,MAKRO,San Jorge Arroz,Bebidas,Gloria,616,4941.96,Cusco,Supermercado
2025,9,VIVANDA,Donofrio Helado,Higiene,San Jorge,701,101.57,Trujillo,Minorista
2024,5,WONG,Gloria Leche,Limpieza,Gloria,97,337.2,Lima,Tienda Independiente
2022,12,MAKRO,Galletas Field,Limpieza,Gloria,900,4066.61,Lima,Supermercado
2024,7,MAKRO,Inca Kola,Bebidas,Backus,982,3686.37,Iquitos,Supermercado
2022,5,MAYORISTA10,Inca Kola,Limpieza,Nestlé,705,1488.65,Lima,Tienda Independiente
2024,10,PLAZA VEA,Donofrio Helado,Alimentos,Alicorp,160,4632.99,Iquitos,Mayorista
2024,5,PLAZA VEA,Gloria Leche,Limpieza,San Jorge,694,2767.78,Chiclayo,Tienda Independiente
2024,11,PLAZA VEA,Galletas Field,Bebidas,Backus,61,4591.15,Piura,Mayorista
2022,7,WONG,Ariel Detergente,Limpieza,Gloria,505,539.12,Iquitos,Supermercado
2024,9,METRO,Galletas Field,Limpieza,Backus,939,2913.63,Trujillo,Tienda Independiente
2021,12,PLAZA VEA,Dento,Limpieza,Alicorp,719,1639.16,Piura,Minorista
2025,6,MAKRO,Galletas Field,Alimentos,Alicorp,555,1216.67,Cusco,Tienda Independiente
2021,1,WONG,Gloria Leche,Higiene,Gloria,721,1072.19,Cusco,Minorista
2021,8,METRO,Donofrio Helado,Higiene,Alicorp,826,2404.88,Huancayo,Mayorista
2021,11,MAYORISTA10,Dento,Limpieza,San Jorge,571,2321.97,Chiclayo,Mayorista
2023,4,VIVANDA,Casino Galleta,Limpieza,Gloria,815,3639.36,Chiclayo,Supermercado
2021,4,METRO,Inca Kola,Higiene,Procter & Gamble,433,3773.86,Cusco,Mayorista
2020,1,MAKRO,Galletas Field,Limpieza,Nestlé,943,4837.04,Lima,Minorista
2020,12,TOTTUS,Ariel Detergente,Limpieza,Backus,351,3369.01,Cusco,Minorista
2022,6,PLAZA VEA,Ariel Detergente,Higiene,Alicorp,558,4520.43,Iquitos,Supermercado
2024,11,TOTTUS,Galletas Field,Higiene,San Jorge,823,4575.79,Trujillo,Tienda Independiente
2021,7,VIVANDA,Galletas Field,Higiene,San Jorge,590,4612.47,Lima,Mayorista
2025,12,TOTTUS,Donofrio Helado,Limpieza,Alicorp,831,1080.24,Piura,Minorista
2019,11,PLAZA VEA,Donofrio Helado,Limpieza,San Jorge,238,3025.84,Trujillo,Minorista
2025,2,TOTTUS,Ariel Detergente,Alimentos,Procter & Gamble,706,3297.0,Chiclayo,Mayorista
2022,9,WONG,Gloria Leche,Bebidas,Procter & Gamble,909,3629.31,Lima,Minorista
2023,1,MAKRO,Galletas Field,Limpieza,Gloria,730,4881.13,Trujillo,Supermercado
2023,10,PLAZA VEA,Inca Kola,Limpieza,Backus,382,155.33,Cusco,Mayorista
2022,5,MAYORISTA10,San Jorge Arroz,Higiene,Nestlé,454,3129.61,Trujillo,Supermercado
2019,5,PLAZA VEA,Gloria Leche,Alimentos,Alicorp,906,645.27,Iquitos,Minorista
2020,8,VIVANDA,Casino Galleta,Limpieza,Procter & Gamble,416,4146.63,Cusco,Tienda Independiente
2024,4,MAKRO,Ariel Detergente,Higiene,San Jorge,849,884.38,Trujillo,Minorista
2020,9,PLAZA VEA,San Jorge Arroz,Higiene,Gloria,255,2831.43,Piura,Tienda Independiente
2024,11,MAKRO,Galletas Field,Alimentos,Gloria,490,2284.81,Lima,Mayorista
2024,9,PLAZA VEA,Donofrio Helado,Alimentos,San Jorge,243,4354.4,Huancayo,Minorista
2019,11,MAKRO,Inca Kola,Alimentos,Gloria,206,4561.94,Piura,Tienda Independiente
2020,7,PLAZA VEA,Donofrio Helado,Bebidas,Nestlé,710,1041.92,Trujillo,Supermercado
2020,9,WONG,Inca Kola,Higiene,Backus,762,293.56,Cusco,Minorista
2023,7,WONG,Dento,Bebidas,Backus,843,2187.03,Chiclayo,Supermercado
2020,12,MAKRO,San Jorge Arroz,Alimentos,Backus,844,4527.99,Chiclayo,Mayorista
2020,3,WONG,San Jorge Arroz,Limpieza,Backus,543,1782.67,Huancayo,Supermercado
2019,6,MAKRO,Dento,Limpieza,Procter & Gamble,185,629.03,Lima,Mayorista
2023,5,TOTTUS,Inca Kola,Bebidas,Gloria,448,3640.44,Trujillo,Mayorista
2023,10,WONG,Gloria Leche,Bebidas,Backus,683,4813.48,Cusco,Supermercado
2024,3,PLAZA VEA,Gloria Leche,Alimentos,San Jorge,106,554.88,Trujillo,Tienda Independiente
2025,1,WONG,Gloria Leche,Alimentos,Alicorp,95,3466.27,Lima,Mayorista
2022,1,VIVANDA,Gloria Leche,Higiene,Backus,215,1320.37,Trujillo,Minorista
2024,10,PLAZA VEA,Ariel Detergente,Bebidas,San Jorge,702,1414.86,Piura,Tienda Independiente
2021,1,WONG,Casino Galleta,Limpieza,Gloria,433,2575.93,Lima,Minorista
2024,1,TOTTUS,Inca Kola,Higiene,Alicorp,491,3355.76,Trujillo,Tienda Independiente
2019,4,TOTTUS,Ariel Detergente,Alimentos,Nestlé,259,3753.98,Huancayo,Minorista
2020,2,PLAZA VEA,Casino Galleta,Alimentos,Procter & Gamble,212,1719.06,Piura,Minorista
2022,8,PLAZA VEA,Galletas Field,Limpieza,Alicorp,462,4233.84,Iquitos,Minorista
2019,9,MAYORISTA10,Dento,Bebidas,Backus,856,3665.3,Huancayo,Tienda Independiente
2022,10,MAKRO,Casino Galleta,Limpieza,Alicorp,93,2394.96,Iquitos,Minorista
2019,5,METRO,Gloria Leche,Higiene,Alicorp,754,2956.27,Cusco,Supermercado
2025,9,WONG,Dento,Alimentos,Backus,725,1082.84,Chiclayo,Tienda Independiente
2019,10,TOTTUS,Inca Kola,Alimentos,San Jorge,281,4584.32,Trujillo,Supermercado
2024,1,VIVANDA,Inca Kola,Limpieza,Procter & Gamble,909,726.26,Lima,Supermercado
2023,4,WONG,Dento,Limpieza,Procter & Gamble,18,2989.74,Chiclayo,Minorista
2024,11,PLAZA VEA,Dento,Higiene,Procter & Gamble,554,116.29,Cusco,Tienda Independiente
2020,10,MAYORISTA10,Casino Galleta,Alimentos,Procter & Gamble,804,4764.12,Iquitos,Tienda Independiente
2025,4,METRO,Galletas Field,Limpieza,Gloria,459,903.85,Iquitos,Supermercado
2025,7,METRO,Galletas Field,Alimentos,Gloria,11,1700.34,Iquitos,Minorista
2019,1,MAKRO,Inca Kola,Alimentos,Backus,462,4698.14,Trujillo,Minorista
2021,1,MAKRO,Ariel Detergente,Higiene,Alicorp,73,3258.74,Huancayo,Tienda Independiente
2020,1,METRO,Dento,Limpieza,Nestlé,886,243.11,Lima,Tienda Independiente
2025,3,VIVANDA,Galletas Field,Higiene,Gloria,383,4542.99,Huancayo,Minorista
2021,1,WONG,Donofrio Helado,Higiene,Procter & Gamble,607,3110.44,Cusco,Minorista
2021,3,VIVANDA,Inca Kola,Limpieza,Nestlé,414,189.35,Piura,Supermercado
2022,10,VIVANDA,Ariel Detergente,Higiene,Procter & Gamble,192,2508.74,Lima,Supermercado
2022,6,METRO,Ariel Detergente,Alimentos,San Jorge,256,767.51,Piura,Mayorista
2023,1,PLAZA VEA,Gloria Leche,Alimentos,Gloria,586,1578.95,Cusco,Supermercado
2021,7,TOTTUS,Donofrio Helado,Higiene,San Jorge,138,4736.84,Piura,Supermercado
2021,2,PLAZA VEA,Inca Kola,Higiene,Alicorp,484,4826.01,Huancayo,Tienda Independiente
2022,9,MAKRO,Gloria Leche,Higiene,Gloria,387,3598.02,Trujillo,Tienda Independiente
2025,1,MAYORISTA10,Dento,Limpieza,Nestlé,816,388.24,Lima,Supermercado
2019,11,METRO,Inca Kola,Bebidas,Backus,942,3121.52,Huancayo,Supermercado
2019,6,PLAZA VEA,Casino Galleta,Alimentos,Backus,57,4576.26,Piura,Mayorista
2023,12,TOTTUS,Gloria Leche,Alimentos,Backus,117,2300.19,Piura,Minorista
2019,4,METRO,Casino Galleta,Alimentos,Alicorp,391,1300.24,Piura,Mayorista
2021,6,WONG,Inca Kola,Bebidas,Nestlé,821,3896.69,Trujillo,Mayorista
2019,11,METRO,Donofrio Helado,Alimentos,Procter & Gamble,252,708.18,Piura,Minorista
2021,5,WONG,San Jorge Arroz,Bebidas,San Jorge,387,1698.14,Huancayo,Tienda Independiente
2019,2,TOTTUS,Donofrio Helado,Higiene,San Jorge,674,707.93,Chiclayo,Tienda Independiente
2020,7,METRO,Galletas Field,Bebidas,Backus,497,890.66,Chiclayo,Minorista
2024,8,PLAZA VEA,Gloria Leche,Limpieza,Backus,560,4434.79,Trujillo,Supermercado
2021,12,TOTTUS,Galletas Field,Limpieza,Procter & Gamble,405,2042.68,Iquitos,Minorista
2019,9,PLAZA VEA,Galletas Field,Limpieza,San Jorge,593,2928.74,Chiclayo,Tienda Independiente
2024,7,TOTTUS,Inca Kola,Alimentos,San Jorge,749,907.22,Iquitos,Tienda Independiente
2020,2,MAKRO,Ariel Detergente,Alimentos,Procter & Gamble,998,2487.13,Cusco,Minorista
2022,10,METRO,Gloria Leche,Alimentos,Alicorp,793,2002.29,Piura,Minorista
2021,12,MAKRO,Dento,Limpieza,Alicorp,544,1977.24,Arequipa,Supermercado
2020,9,METRO,Galletas Field,Limpieza,Procter & Gamble,475,3556.67,Huancayo,Tienda Independiente
2020,12,METRO,Casino Galleta,Higiene,Procter & Gamble,152,148.2,Iquitos,Tienda Independiente
2023,9,PLAZA VEA,Ariel Detergente,Limpieza,San Jorge,280,1985.39,Huancayo,Supermercado
2025,12,MAYORISTA10,Donofrio Helado,Higiene,Gloria,464,539.0,Lima,Tienda Independiente
2025,6,WONG,Galletas Field,Higiene,Backus,335,2885.61,Arequipa,Mayorista
